title,updated,entity,topic,winner,is_new,is_pick,filename,subhead,related_suid,related_link,footnotes,overview,methodology,sources,data_updated
Best Graduation Rates: Colleges,8/6/2013,schools,education,Williams College,NA,NA,best-graduation-rates-colleges.csv,Williams College is No. 1 among undergraduate schools with 93% of students graduating in four years,NA,NA,NA,Bloomberg ranked U.S. colleges and universities based on the four-year bachelor's-degree graduation rate at or above 80% for full-time first-time students.,"Six-year and eight-year graduation rates were provided for comparison. Included were 1,941 public and private not-for-profit schools of four years or more that offer broad curricula; specialty schools were omitted such as military academies, seminaries and schools with religious focus, music and art schools, engineering schools, nursing schools and medical training schools.  Data were for 2010 to 2011, the most recently available school year.","U.S. Department of Education, National Center for Education Statistics, Integrated Postsecondary Education Data System (IPEDS), 2010-2011 data, Student Graduation Rate component (final release)",2013-08-06
Most Back-to-School Stores: States,8/6/2013,places,business,New Jersey,NA,NA,most-back-to-school-stores-states.csv,New Jersey has more back-to-school shopping per square mile than any other state,NA,NA,NA,Bloomberg ranked the U.S. states based on the number of retail establishments that sell back-to-school merchandise per square land mile.,"An establishment is a single physical location at which business is conducted. Retail totals were only for establishments identified in the following NAICS sectors and subsectors:  electronics and appliance stores; clothing and clothing accessory stores; sporting goods stores; hobby, toy and game stores; musical instrument and supplies stores; bookstores; general merchandise stores; and office supply and stationery stores. Data are for locations with paid employees only.  Land area data were rounded after calculating the stores per square mile.","U.S. Census, County Business Patterns 2011 and Census 2010",2013-08-06
Most Untaxed Overseas Profits in U.S. Technology: Companies,8/1/2013,companies,business,Microsoft,NA,NA,most-untaxed-overseas-profits-in-us-technology-companies.csv,Microsoft accounts for 20% of the $416 billion U.S. tech companies hold in overseas profits,NA,NA,NA,"Bloomberg ranked the 70 companies in the S&P 500 Information Technology Sector Index, along with the  five companies  in the S&P 500 Internet & Catalog Retail Index, based on the amount of undistributed earnings held outside the U.S.","The top 25 companies are displayed. Data were from the latest available Annual Report or Form 10-K filed by the company. Five companies (Fidelity National Information Services, Fiserv, Paychex, SAIC and Salesforce.com) did not have information available.",Company filings,2013-08-01
Most Profitable in Technology in U.S.: Companies,7/31/2013,companies,business,Apple,NA,NA,most-profitable-in-technology-in-u-dot-s-companies.csv,Apple is almost two times more profitable than its nearest rival,NA,NA,* 2013 data,Bloomberg ranked technology companies based on latest available annual net income. Included were the 70 companies in the S&P 500 Information Technology Index as well as the five companies in the Internet & Catalog Retail Industry Index.,Data were for fiscal year 2012 unless indicated.,Bloomberg,2013-07-31
Biggest Gap Between Male and Female Pay: CEOs,7/30/2013,people,business,Patti Hart,NA,NA,biggest-gap-between-male-and-female-pay-ceos.csv,Women CEOs of S&P 500 companies earn 17% less than the average chief executive,NA,NA,NA,Bloomberg compared the total compensation received by female CEOs in the S&P 500 to the average received by CEOs of both genders in their respective industry groups and ranked the female CEOs by the percentage difference.,"CEOs who were not in their jobs for the full fiscal year were excluded. Data were for companies' 2012 fiscal year, except for TJX Companies, whose 2013 fiscal year ended in January.","Bloomberg, companies",2013-07-30
"Biggest Gains, Single-Family Home Prices: U.S. Cities",7/24/2013,places,personal-finance,"Jacksonville, FL",NA,NA,biggest-gains-single-family-home-prices-us-cities.csv,"Prices for single-family homes in Jacksonville, FL have increased more than 36% in one year",NA,NA,NA,Bloomberg ranked U.S. cities for which data were available based on the percentage increase in the median sale price of single-family homes in each city's metro area from June 2012 to June 2013.,Data were rounded.,Zillow,2013-07-24
Highest Dividend Yields in U.S.: Companies,7/24/2013,companies,investing,Arlington Asset Investment,NA,NA,highest-dividend-yields-in-u-dot-s-companies.csv,A mortgage investor tops the list of companies with highest dividends relative to share price,NA,NA,NA,"Bloomberg ranked U.S. companies based on dividend yield on July 24, 2013. The yield was based on the July 24, 2013 share price and on the last dividend or partnership distribution paid annualized.","The universe consisted of 1,000 companies with share prices of at least $1 and market capitalizations of at least $250 million. Equity and nonequity investment instruments (such as mutual funds and exchange-traded funds) were excluded as were companies with no share price on July 24 or a share price lower than it was one year earlier. Among the 180 companies that remained, the top 25 were identified. Hugoton Royalty Trust pays its dividend monthly; all other companies pay quarterly.",Bloomberg,2013-07-24
Dirtiest Beaches in the U.S.: States,7/23/2013,places,lifestyle,Ohio,NA,NA,dirtiest-beaches-in-the-u-dot-s-states.csv,A study shows that Ohio's beach water is the most contaminated in the U.S.,NA,NA,NA,Bloomberg ranked the U.S. states based on a study of the percentage of water samples taken from oceans and lakes that exceeded the recommended national health standards for designated beach areas in 2012.,Samples that exceed the standards indicate the potential presence of human or animal waste. Data were rounded.,National Resources Defense Council,2013-07-23
Longest Life Span in the Americas: Countries,7/19/2013,places,lifestyle,Canada,NA,NA,longest-life-span-in-the-americas-countries.csv,"The U.S. is fourth after Canada, Costa Rica and Chile",NA,NA,NA,Bloomberg ranked countries in the Americas on life expectancy.,Life expectancy is defined as the number of years a newborn infant would live assuming that age-specific mortality levels are constant.,World Bank,2013-07-19
Most Married Residents: States,7/18/2013,places,lifestyle,Utah,NA,NA,most-married-residents-states.csv,Only one-quarter of District of Columbia residents ages 15 and older are married,NA,NA,NA,Bloomberg ranked the U.S. states and the District of Columbia based on the percentage of the population ages 15 and older who are now married.,Ranking excludes people who are separated. Data were rounded.,2011 American Community Survey 1-Year Estimates,2013-07-18
Most Deficient Bridges: States,7/16/2013,places,politics-and-policy,Pennsylvania,NA,NA,most-deficient-bridges-states.csv,One-quarter of Pennsylvania's bridges are in need of repair,NA,NA,NA,Bloomberg ranked states and the District of Columbia based on the percentage of their bridges that are structurally deficient at last reporting in 2012.,"A bridge is classified as ""structurally deficient"" if engineers have identified a major defect in its support structure or deck. Though not necessarily unsafe, these bridges require significant maintenance, rehabilitation or replacement. Highway bridges, those which are at least 20 feet long and with automobile traffic passing on the structure (not underneath it), were included. Traffic figures are daily averages of individual car trips based on annual totals.","Transportation for America, Department of Transportation Federal Highway Administration",2013-07-16
Longest Life Span in Western Europe: Countries,7/15/2013,places,lifestyle,Switzerland,NA,NA,longest-life-span-in-western-europe-countries.csv,Even the shortest life expectancy in Western Europe is nearly 80 years,NA,NA,NA,Bloomberg ranked countries in Western Europe based on life expectancy.,Life expectancy is defined as the number of years a newborn infant is expected to live assuming that age-specific mortality levels are constant.,World Bank,2013-07-15
Longest Life Span in the OECD: Countries,7/13/2013,places,lifestyle,Switzerland,NA,NA,longest-life-span-in-the-oecd-countries.csv,The U.S. ranks in the lowest quartile of OECD countries for longevity,NA,http://www.bloomberg.com/money-gallery/2013-09-17/where-people-live-the-longest.html#slide1,NA,Bloomberg ranked countries in the Organization for Economic Cooperation and Development based on life expectancy.,Life expectancy is defined as the number of years a newborn infant is expected to live assuming that age-specific mortality levels are constant.,World Bank,2013-07-13
Widest Pay Gap Between CEOs and Salesclerks: States,7/11/2013,places,business,Kentucky,NA,NA,widest-pay-gap-between-ceos-and-salesclerks-states.csv,Even the best-paid retail salesperson has to work 262 years to match the average retail CEO's annual pay,NA,NA,NA,Bloomberg ranked the U.S. states and the District of Columbia based on the number of years a retail salesperson working in each state would have to work to match one year of the average pay for a CEO in the retail discretionary industry sector.,CEO pay of $6.45 million for 2012 and $4 million for 2007 were calculated by averaging 2012 and 2007 fiscal-year total compensation of CEOs for more than 120 publicly traded U.S. retail discretionary companies.,"Bloomberg, Bureau of Labor Statistics",2013-07-11
